fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,300000.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,219895.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,670000.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,1590690.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,26645.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,9441.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,608202.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,3173378.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,14485.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,19035.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,5,SALARIES AND WAGES - ON PAYROLL,1240434.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,15,SCHEDULE SALARY ADJUSTMENTS,2936.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,20533.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,381267.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,288201.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,775979.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,5717547.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,1405493.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,13942.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,20,OVERTIME,115000.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,208480.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,148,TESTING AND INSPECTING,3800.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,15026.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,22650.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,325006.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,2500.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,350,STATIONERY AND OFFICE SUPPLIES,820.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,717791.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,440,MACHINERY AND EQUIPMENT,21011.0,2020,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,38,DAIS,2140,FLEET OPERATIONS,450,VEHICLES,380000.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,41064.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,443359.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,2446732.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,928579.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,4610668.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,19261.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,20790354.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,8235027.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,91865.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJUSTMENTS,6231.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,20,OVERTIME,700000.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,925000.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,148,TESTING AND INSPECTING,6800.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,52722.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,363638.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,1248421.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,6798.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,350,STATIONERY AND OFFICE SUPPLIES,955.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,3151567.0,2020,Department of Fleet and Facility Management
LOCAL,0740,O HARE REVENUE FUND,38,DAIS,2140,FLEET OPERATIONS,440,MACHINERY AND EQUIPMENT,32771.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,5,SALARIES AND WAGES - ON PAYROLL,6121897.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,20,OVERTIME,499800.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,55,EXTRA HIRE,1179808.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,130,POSTAGE,245905.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,138,IT MAINTENANCE,640084.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,140,PROFESSIONAL AND TECHNICAL SERVICES,725760.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,143,COURT REPORTING,21480.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,145,LEGAL EXPENSES,1840090.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,149,SOFTWARE MAINTENANCE AND LICENSING,1343431.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,150,OUTSIDE GRAPHIC SERVICES,101220.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,152,ADVERTISING,28000.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,154,RENTAL-DATA HARDWARE EQ,102598.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,155,RENTAL OF PROPERTY,780518.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,157,RENTAL EQUIPMENT AND SERVICES,62797.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,159,LEASE/PURCHASE EQUIPMENT,2447596.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,162,REPAIR/MAINT EQUIPMENT,265419.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,166,DUES  SUBSC & MEM,5925.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,169,TECHNICAL MEETING COSTS,55420.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,172,INSURANCE PREMIUMS,1410.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,178,FREIGHT AND EXPRESS CHARGES,4860.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,181,MOBILE COMMUNICATION SERVICES,568725.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,190,TELEPHONE - CENTREX BILLINGS,582747.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,229,TRANSPORTATION AND EXPENSE ALLOWANCE,12970.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,245,REIMBURSEMENT TO TRAVELERS,3550.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,270,LOCAL TRANSPORTATION,13000.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,340,MATERIAL AND SUPPLIES,573910.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,350,STATIONERY AND OFFICE SUPPLIES,148380.0,2020,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,5,SALARIES AND WAGES - ON PAYROLL,18759969.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,11,CONTRACT WAGE - SALARY,14058.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,15,SCHEDULE SALARY ADJUSTMENTS,90938.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,20,OVERTIME,80810.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,50,STIPENDS,43700.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,91,UNIFORM ALLOWANCE,11900.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,125,OFFICE AND BUILDING SERVICES,142090.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,130,POSTAGE,21000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,135,DELEGATE AGENCIES,21133882.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,140,PROFESSIONAL AND TECHNICAL SERVICES,4883799.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,148,TESTING AND INSPECTING,2000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,149,SOFTWARE MAINTENANCE AND LICENSING,23475.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,150,OUTSIDE GRAPHIC SERVICES,70000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,159,LEASE/PURCHASE EQUIPMENT,153000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,162,REPAIR/MAINT EQUIPMENT,17300.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,166,DUES  SUBSC & MEM,84174.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,169,TECHNICAL MEETING COSTS,28497.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,179,MESSENGER SERVICES,5000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,181,MOBILE COMMUNICATION SERVICES,210840.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,189,TELEPHONE - NON-CENTREX BILLINGS,12000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,190,TELEPHONE - CENTREX BILLINGS,129000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,197,TELEPHONE - MAINTENANCE,12235.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,229,TRANSPORTATION AND EXPENSE ALLOWANCE,1500.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,245,REIMBURSEMENT TO TRAVELERS,22629.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,270,LOCAL TRANSPORTATION,3150.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,319,CLOTHING,15750.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,330,FOOD,5720.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,340,MATERIAL AND SUPPLIES,36588.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,857692.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,350,STATIONERY AND OFFICE SUPPLIES,33000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,445,TECHNICAL AND SCIENTIFIC EQUIPMENT,3010.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,446,PURCHASE - DATA HARDWARE,1640.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,9254,VIOLENCE REDUCTION PROGRAM,8000000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,9438,REIMBURSEMENT - DAIS,50000.0,2020,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,5,SALARIES AND WAGES - ON PAYROLL,1012633.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,15,SCHEDULE SALARY ADJUSTMENTS,2691.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,130,POSTAGE,3000.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,35767.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,143,COURT REPORTING,5000.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,159,LEASE/PURCHASE EQUIPMENT,4994.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,166,DUES  SUBSC & MEM,14194.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,169,TECHNICAL MEETING COSTS,1500.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,190,TELEPHONE - CENTREX BILLINGS,1926.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,197,TELEPHONE - MAINTENANCE,345.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,245,REIMBURSEMENT TO TRAVELERS,4418.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,270,LOCAL TRANSPORTATION,800.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,350,STATIONERY AND OFFICE SUPPLIES,2500.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,424,FURNITURE AND FURNISHINGS,1500.0,2020,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,5,SALARIES AND WAGES - ON PAYROLL,1238210.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,15,SCHEDULE SALARY ADJUSTMENTS,2662.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,39,STUDENT AS TRAINEES,7525.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,130,POSTAGE,1200.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,135,DELEGATE AGENCIES,400000.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,140,PROFESSIONAL AND TECHNICAL SERVICES,105494.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,152,ADVERTISING,25000.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,155,RENTAL OF PROPERTY,13250.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,157,RENTAL EQUIPMENT AND SERVICES,14796.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,159,LEASE/PURCHASE EQUIPMENT,16572.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,162,REPAIR/MAINT EQUIPMENT,775.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,169,TECHNICAL MEETING COSTS,3580.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,181,MOBILE COMMUNICATION SERVICES,1872.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,190,TELEPHONE - CENTREX BILLINGS,5889.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,197,TELEPHONE - MAINTENANCE,775.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,245,REIMBURSEMENT TO TRAVELERS,2234.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,270,LOCAL TRANSPORTATION,10874.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,312,SOFTWARE PURCHASES,3000.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,340,MATERIAL AND SUPPLIES,8199.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,350,STATIONERY AND OFFICE SUPPLIES,7387.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,9438,REIMBURSEMENT - DAIS,46000.0,2020,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,5,SALARIES AND WAGES - ON PAYROLL,8802466.0,2020,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,42340.0,2020,Department of Family and Support Services
